entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Tennessee911,,1697500.0,1442500.0,850000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1697500.0,1442500.0,850000.0,160000.0,True,True,True,True
Drd Management,,1690000.0,1300000.0,800000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1690000.0,1300000.0,800000.0,160000.0,True,True,True,True
Tennessee Society Of Certified Public Accountants,,1235000.0,912500.0,450000.0,90000.0,True,Company,0,443125.0,313950.0,155000.0,38000.0,True,0.0,0.0,0.0,0.0,0.0,False,1678125.0,1226450.0,605000.0,128000.0,True,True,True,True
Tennessee Association Of Assessing Officers,,1667500.0,1187500.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1667500.0,1187500.0,425000.0,85000.0,True,True,True,True
Tennessee Distillers Guild,,1662500.0,1550000.0,982500.0,380000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1662500.0,1550000.0,982500.0,380000.0,True,True,True,True
Permobil,,1640000.0,1640000.0,1040000.0,0.0,True,Company,0,14744.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1654744.0,1640000.0,1040000.0,0.0,True,True,True,False
Aarp,,1645000.0,1245000.0,170000.0,65000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1645000.0,1245000.0,170000.0,65000.0,True,True,True,True
Oak Ridge National Lab,https://www.ut-battelle.org/,1640000.0,1187500.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1640000.0,1187500.0,425000.0,85000.0,True,True,True,True
Tennessee Consumer Finance Association,,1090000.0,810000.0,425000.0,85000.0,True,Company,0,491250.0,405750.0,212500.0,42500.0,True,0.0,0.0,0.0,0.0,0.0,False,1581250.0,1215750.0,637500.0,127500.0,True,True,True,True
Tennessee Group Practice Coalition,,1452500.0,887500.0,462500.0,122500.0,True,Company,0,125250.0,60000.0,21500.0,2000.0,True,0.0,0.0,0.0,0.0,0.0,False,1577750.0,947500.0,484000.0,124500.0,True,True,True,True
Ryman Hospitality,,1527500.0,1352500.0,800000.0,160000.0,True,Company,0,41400.0,23000.0,12250.0,5000.0,True,0.0,0.0,0.0,0.0,0.0,False,1568900.0,1375500.0,812250.0,165000.0,True,True,True,True
Tennessee Nurses Association,,1377500.0,952500.0,330000.0,45000.0,True,Company,0,181600.0,83600.0,43250.0,4500.0,True,0.0,0.0,0.0,0.0,0.0,False,1559100.0,1036100.0,373250.0,49500.0,True,True,True,False
Tennessee County Commissioners Association,,1557500.0,1200000.0,625000.0,122500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1557500.0,1200000.0,625000.0,122500.0,True,True,True,True
Tennessee Apartment Association,,1055000.0,770000.0,425000.0,85000.0,True,Company,0,492150.0,395250.0,237000.0,49500.0,True,0.0,0.0,0.0,0.0,0.0,False,1547150.0,1165250.0,662000.0,134500.0,True,True,True,True
K12 Inc,,1507500.0,1112500.0,612500.0,122500.0,True,Company,0,37375.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1544875.0,1112500.0,612500.0,122500.0,True,True,True,True
Enterprise Rentacar,,1102500.0,762500.0,255000.0,0.0,True,Company,0,428950.0,305200.0,41000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1531450.0,1067700.0,296000.0,0.0,True,True,True,False
Tennessee Forestry Association,,1422500.0,1202500.0,497500.0,110000.0,True,Company,0,95300.0,64500.0,22500.0,1000.0,True,0.0,403.41,0.0,0.0,0.0,True,1518203.41,1267000.0,520000.0,111000.0,True,True,True,True
Allergy Associates,,1515000.0,1425000.0,900000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1515000.0,1425000.0,900000.0,160000.0,True,True,True,True
Rogers Group,,1105000.0,727500.0,345000.0,65000.0,True,Company,0,358799.0,250800.0,83000.0,11500.0,True,0.0,0.0,0.0,0.0,0.0,False,1463799.0,978300.0,428000.0,76500.0,True,True,True,True
Aia Tennessee,,1312500.0,1012500.0,537500.0,85000.0,True,Company,0,144084.0,87084.0,22584.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1456584.0,1099584.0,560084.0,85000.0,True,True,True,True
Total Wine & More,,1450000.0,1450000.0,950000.0,210000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1450000.0,1450000.0,950000.0,210000.0,True,True,True,True
Vanderbilt University Medical Center,,1430000.0,1430000.0,705000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1430000.0,1430000.0,705000.0,160000.0,True,True,True,True
Sas Institute,,1427500.0,850000.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1427500.0,850000.0,425000.0,85000.0,True,True,True,True
Corizon Health,,1427500.0,1317500.0,187500.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1427500.0,1317500.0,187500.0,0.0,True,True,True,False
Cvs Health,,1415000.0,1075000.0,612500.0,122500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1415000.0,1075000.0,612500.0,122500.0,True,True,True,True
Unum Group,,1217500.0,997500.0,425000.0,85000.0,True,Company,0,195250.0,139150.0,83250.0,16500.0,True,0.0,0.0,0.0,0.0,0.0,False,1412750.0,1136650.0,508250.0,101500.0,True,True,True,True
Tennessee Malt Beverage Association,,1412500.0,875000.0,450000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1412500.0,875000.0,450000.0,85000.0,True,True,True,True
Tennessee Installment Lenders Association,,1277500.0,900000.0,425000.0,85000.0,True,Company,0,132000.0,132000.0,65500.0,13500.0,True,0.0,0.0,0.0,0.0,0.0,False,1409500.0,1032000.0,490500.0,98500.0,True,True,True,True
National Federation Of Independent Business,,1030000.0,862500.0,470000.0,65000.0,True,Company,0,330069.0,330069.0,170644.0,25500.0,True,0.0,28016.54,3173.74,349.43,0.0,True,1388085.54,1195742.74,640993.43,90500.0,True,True,True,True
Tennessee American Water,,1220000.0,885000.0,460000.0,85000.0,True,Company,0,160550.0,109050.0,47500.0,10000.0,True,0.0,0.0,0.0,0.0,0.0,False,1380550.0,994050.0,507500.0,95000.0,True,True,True,True
Bnsf Railway Co.,,1030000.0,790000.0,405000.0,85000.0,True,Company,0,350275.0,288550.0,153500.0,24000.0,True,0.0,0.0,0.0,0.0,0.0,False,1380275.0,1078550.0,558500.0,109000.0,True,True,True,True
Outdoor Advertising Of Tennessee,,1190000.0,850000.0,425000.0,85000.0,True,Company,0,188350.0,87800.0,31000.0,2500.0,True,0.0,0.0,0.0,0.0,0.0,False,1378350.0,937800.0,456000.0,87500.0,True,True,True,True
Tennessee Farmers Insurance,,1375000.0,975000.0,437500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1375000.0,975000.0,437500.0,85000.0,True,True,True,True
Tennessee State Collaborative On Reforming Education (Score),,1370000.0,1320000.0,850000.0,210000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1370000.0,1320000.0,850000.0,210000.0,True,True,True,True
Retirement Companies Of America,https://retirementcompanies.com/the-rca-way/leadership/,1250000.0,972500.0,162500.0,20000.0,True,Company,0,110150.0,84550.0,46750.0,3000.0,True,0.0,0.0,0.0,0.0,0.0,False,1360150.0,1057050.0,209250.0,23000.0,True,True,True,False
Meharry Medical College,,1357500.0,997500.0,377500.0,65000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1357500.0,997500.0,377500.0,65000.0,True,True,True,True
Google,,1355000.0,1257500.0,762500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1355000.0,1257500.0,762500.0,160000.0,True,True,True,True
Norfolk Southern,,1190000.0,850000.0,425000.0,85000.0,True,Company,0,164900.0,143150.0,65750.0,9750.0,True,0.0,0.0,0.0,0.0,0.0,False,1354900.0,993150.0,490750.0,94750.0,True,True,True,True
Airbnb,,1225000.0,1225000.0,625000.0,160000.0,True,Company,0,129500.0,129500.0,67000.0,54000.0,True,0.0,0.0,0.0,0.0,0.0,False,1354500.0,1354500.0,692000.0,214000.0,True,True,True,True
Randy Boyd Pac,,0.0,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,False,0.0,1342564.46,1342564.46,0.0,0.0,True,1342564.46,1342564.46,0.0,0.0,True,True,False,False
Tennessee Public Television Council,,1340000.0,1000000.0,575000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1340000.0,1000000.0,575000.0,160000.0,True,True,True,True
Marsy'S Law For All,,1327500.0,1327500.0,682500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1327500.0,1327500.0,682500.0,160000.0,True,True,True,True
Tennessee School Boards Association,,1327500.0,1100000.0,662500.0,122500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1327500.0,1100000.0,662500.0,122500.0,True,True,True,True
Tslms,,1325000.0,1282500.0,65000.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1325000.0,1282500.0,65000.0,0.0,True,True,False,False
Education Networks Of America,,1317500.0,752500.0,210000.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1317500.0,752500.0,210000.0,0.0,True,True,True,False
American Resort Development Association,,792500.0,532500.0,202500.0,45000.0,True,Company,0,507350.0,344850.0,206350.0,49000.0,True,0.0,1000.0,1000.0,0.0,0.0,True,1300850.0,878350.0,408850.0,94000.0,True,True,True,True
American Lung Association,,1300000.0,1300000.0,800000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1300000.0,1300000.0,800000.0,160000.0,True,True,True,True
Tennessee Association Of Optometric Physicians,,890000.0,650000.0,320000.0,152500.0,True,Company,0,399600.0,162000.0,19500.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1289600.0,812000.0,339500.0,152500.0,True,True,True,True
Tennessee Disability Coalition,,1287500.0,995000.0,565000.0,117500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1287500.0,995000.0,565000.0,117500.0,True,True,True,True
Wholesalers Association,,0.0,0.0,0.0,0.0,False,Company,0,1283655.0,938480.0,508800.0,100700.0,True,0.0,2671.92,840.44,0.0,0.0,True,1286326.92,939320.44,508800.0,100700.0,True,True,True,True
Waste Management,,1112500.0,932500.0,577500.0,85000.0,True,Company,0,172650.0,120750.0,61750.0,13750.0,True,0.0,0.0,0.0,0.0,0.0,False,1285150.0,1053250.0,639250.0,98750.0,True,True,True,True
Energysolutions,,1215000.0,450000.0,225000.0,45000.0,True,Company,0,69500.0,23500.0,14500.0,3000.0,True,0.0,0.0,0.0,0.0,0.0,False,1284500.0,473500.0,239500.0,48000.0,True,True,True,False
Everytown For Gun Safety Action Fund,,1267500.0,1190000.0,702500.0,97500.0,True,Company,0,10000.0,10000.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1277500.0,1200000.0,702500.0,97500.0,True,True,True,True
Merck,,1112500.0,717500.0,400000.0,102500.0,True,Company,0,163050.0,161550.0,56550.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1275550.0,879050.0,456550.0,102500.0,True,True,True,True
Youth Villages,,1272500.0,1092500.0,687500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1272500.0,1092500.0,687500.0,160000.0,True,True,True,True
Goodwill,,1267500.0,1267500.0,1017500.0,282500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1267500.0,1267500.0,1017500.0,282500.0,True,True,True,True
"Volkert, Inc.",,1242500.0,1072500.0,820000.0,560000.0,True,Company,0,21500.0,15000.0,15000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1264000.0,1087500.0,835000.0,560000.0,True,True,True,True
Tennessee Physical Therapy Association,,1150000.0,850000.0,425000.0,85000.0,True,Company,0,112650.0,73500.0,34000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1262650.0,923500.0,459000.0,85000.0,True,True,True,True
Tennessee Academy Of Physician Assistants,,1262500.0,962500.0,500000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1262500.0,962500.0,500000.0,85000.0,True,True,True,True
Advance Financial/Advance America/Community Choice Financial,,0.0,0.0,0.0,0.0,False,Company,0,1259175.0,817600.0,490000.0,158000.0,True,0.0,0.0,0.0,0.0,0.0,False,1259175.0,817600.0,490000.0,158000.0,True,True,True,True
Erlanger Health System,,1257500.0,787500.0,197500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1257500.0,787500.0,197500.0,85000.0,True,True,True,True
Ebay,,1255000.0,872500.0,372500.0,65000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1255000.0,872500.0,372500.0,65000.0,True,True,True,True
Hospital Authority Of Metro Government Of Nashville & Davidson County,,1252500.0,1085000.0,935000.0,155000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1252500.0,1085000.0,935000.0,155000.0,True,True,True,True
Public Consulting Group,,1250000.0,930000.0,537500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1250000.0,930000.0,537500.0,85000.0,True,True,True,True
U.S. Chamber Of Commerce,,1250000.0,425000.0,142500.0,20000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1250000.0,425000.0,142500.0,20000.0,True,True,True,False
Global Tel Link Corporation,,1247500.0,1017500.0,612500.0,122500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1247500.0,1017500.0,612500.0,122500.0,True,True,True,True
Association Of County Mayors,,1230000.0,995000.0,282500.0,102500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1230000.0,995000.0,282500.0,102500.0,True,True,True,True
Farm Credit Mid-America,,1227500.0,1007500.0,292500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1227500.0,1007500.0,292500.0,85000.0,True,True,True,True
Tennessee Oncology Practice Society,,1227500.0,1227500.0,762500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1227500.0,1227500.0,762500.0,160000.0,True,True,True,True
Motorola,,1165000.0,885000.0,500000.0,85000.0,True,Company,0,53000.0,15000.0,5000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1218000.0,900000.0,505000.0,85000.0,True,True,True,True
Aegis Sciences Corporation,,1207500.0,810000.0,422500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1207500.0,810000.0,422500.0,85000.0,True,True,True,True
"Lawson, Phillip & Janet",,0.0,0.0,0.0,0.0,False,Individual,0,1202712.0,1202712.0,1182712.0,265300.0,True,0.0,0.0,0.0,0.0,0.0,False,1202712.0,1202712.0,1182712.0,265300.0,True,True,True,True
Nashville Cares,,1202500.0,1022500.0,645000.0,225000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1202500.0,1022500.0,645000.0,225000.0,True,True,True,True
Uber,,1202500.0,920000.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1202500.0,920000.0,425000.0,85000.0,True,True,True,True
Bank Of America,,1190000.0,850000.0,425000.0,85000.0,True,Company,0,12250.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1202250.0,850000.0,425000.0,85000.0,True,True,True,True
"Mills, Olan & Norma",,0.0,0.0,0.0,0.0,False,Individual,0,1202000.0,852000.0,492000.0,85000.0,True,0.0,0.0,0.0,0.0,0.0,False,1202000.0,852000.0,492000.0,85000.0,True,True,True,True
Tennessee Construction Coalition,,1200000.0,375000.0,110000.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1200000.0,375000.0,110000.0,0.0,True,True,True,False
Recording Industry Association Of America,,1190000.0,850000.0,425000.0,85000.0,True,Company,0,8000.0,8000.0,8000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1198000.0,858000.0,433000.0,85000.0,True,True,True,True
Recording Industry Association Of America,,1190000.0,850000.0,425000.0,85000.0,True,Company,0,7000.0,4500.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1197000.0,854500.0,425000.0,85000.0,True,True,True,True
Live Nation - Ticketmaster,,1195000.0,822500.0,437500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1195000.0,822500.0,437500.0,85000.0,True,True,True,True
South College,,1190000.0,850000.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1190000.0,850000.0,425000.0,85000.0,True,True,True,True
Uhs Of Delaware,,1190000.0,850000.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1190000.0,850000.0,425000.0,85000.0,True,True,True,True
Geographic Solutions,,1172500.0,912500.0,382500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1172500.0,912500.0,382500.0,85000.0,True,True,True,True
Cigar Association Of America,,1170000.0,830000.0,405000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1170000.0,830000.0,405000.0,85000.0,True,True,True,True
Quest Diagnostics,,1170000.0,872500.0,385000.0,65000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1170000.0,872500.0,385000.0,65000.0,True,True,True,True
Acadia Healthcare,,917500.0,917500.0,480000.0,85000.0,True,Company,0,246986.0,201986.0,80200.0,0.0,True,0.0,5075.64,5075.64,0.0,0.0,True,1169561.64,1124561.64,560200.0,85000.0,True,True,True,True
American Council Of Engineering Companies Of Tennessee,,1167500.0,1025000.0,667500.0,102500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1167500.0,1025000.0,667500.0,102500.0,True,True,True,True
Lenscrafters,,1162500.0,405000.0,105000.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1162500.0,405000.0,105000.0,0.0,True,True,True,False
Johnson Controls,,1150000.0,720000.0,297500.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1150000.0,720000.0,297500.0,0.0,True,True,True,False
Metropolitan Nashville Airport Authority,,1147500.0,1025000.0,705000.0,102500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1147500.0,1025000.0,705000.0,102500.0,True,True,True,True
"Noble Education, Inc.",,1137500.0,1137500.0,987500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1137500.0,1137500.0,987500.0,160000.0,True,True,True,True
"Bristol Motor Speedway, Llc",,1137500.0,1095000.0,1095000.0,375000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1137500.0,1095000.0,1095000.0,375000.0,True,True,True,True
Eli Lilly,,950000.0,610000.0,365000.0,85000.0,True,Company,0,186600.0,125000.0,62500.0,16000.0,True,0.0,0.0,0.0,0.0,0.0,False,1136600.0,735000.0,427500.0,101000.0,True,True,True,True
Aclu,,1130000.0,1060000.0,865000.0,210000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1130000.0,1060000.0,865000.0,210000.0,True,True,True,True
Aaa,,1127500.0,480000.0,100000.0,20000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1127500.0,480000.0,100000.0,20000.0,True,True,True,False
Bridgestone,,1127500.0,790000.0,405000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1127500.0,790000.0,405000.0,85000.0,True,True,True,True
Houghton Mifflin Harcourt Publishing Company,,1127500.0,722500.0,297500.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1127500.0,722500.0,297500.0,0.0,True,True,True,False
Charter Communications,,435000.0,342500.0,172500.0,0.0,True,Company,0,688100.0,688100.0,397900.0,112400.0,True,0.0,0.0,0.0,0.0,0.0,False,1123100.0,1030600.0,570400.0,112400.0,True,True,True,True
Pearson Education,,1117500.0,910000.0,600000.0,105000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1117500.0,910000.0,600000.0,105000.0,True,True,True,True
Lincoln Memorial University,,1115000.0,1105000.0,715000.0,300000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1115000.0,1105000.0,715000.0,300000.0,True,True,True,True
Republic Services,,1045000.0,785000.0,447500.0,122500.0,True,Company,0,67250.0,64750.0,41000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1112250.0,849750.0,488500.0,122500.0,True,True,True,True
Gsk,,1090000.0,750000.0,365000.0,65000.0,True,Company,0,21200.0,7900.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1111200.0,757900.0,365000.0,65000.0,True,True,True,True
Campaign For Great Public Schools,,742500.0,742500.0,635000.0,45000.0,True,Company,0,364100.0,364100.0,307800.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1106600.0,1106600.0,942800.0,45000.0,True,True,True,False
Nissan,,1102500.0,782500.0,425000.0,85000.0,True,Company,0,2500.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1105000.0,782500.0,425000.0,85000.0,True,True,True,True
Tennessee Primary Care Association,,1097500.0,942500.0,352500.0,65000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1097500.0,942500.0,352500.0,65000.0,True,True,True,True
Diageo North America,,1085000.0,885000.0,435000.0,85000.0,True,Company,0,12000.0,12000.0,7000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1097000.0,897000.0,442000.0,85000.0,True,True,True,True
Justcity,,1095000.0,1085000.0,492500.0,45000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1095000.0,1085000.0,492500.0,45000.0,True,True,True,False
Centurion,,1095000.0,850000.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1095000.0,850000.0,425000.0,85000.0,True,True,True,True
Alzheimer'S Association,,1092500.0,1012500.0,455000.0,45000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1092500.0,1012500.0,455000.0,45000.0,True,True,True,False
Ymca Of Middle Tennessee,,1087500.0,747500.0,322500.0,45000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1087500.0,747500.0,322500.0,45000.0,True,True,True,False
Tennessee School Systems For Equity - Tennessee Education And Management Services,,1087500.0,680000.0,300000.0,65000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1087500.0,680000.0,300000.0,65000.0,True,True,True,True
Sci Tennessee Funeral Services,,1082500.0,887500.0,462500.0,97500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1082500.0,887500.0,462500.0,97500.0,True,True,True,True
"Tennessee Oncology, Pllc",,1080000.0,1080000.0,920000.0,230000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1080000.0,1080000.0,920000.0,230000.0,True,True,True,True
Vulcan Construction Materials,,1017500.0,837500.0,235000.0,52500.0,True,Company,0,57350.0,48200.0,20000.0,3000.0,True,0.0,0.0,0.0,0.0,0.0,False,1074850.0,885700.0,255000.0,55500.0,True,True,True,True
"Gilead Sciences, Inc.",,1055000.0,747500.0,425000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1055000.0,747500.0,425000.0,85000.0,True,True,True,True
Qk4,,1052500.0,647500.0,222500.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1052500.0,647500.0,222500.0,0.0,True,True,True,False
Baptist Memorial Health.,,1050000.0,782500.0,570000.0,102500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1050000.0,782500.0,570000.0,102500.0,True,True,True,True
American Cancer Society,,1047500.0,727500.0,352500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1047500.0,727500.0,352500.0,85000.0,True,True,True,True
"Wayne Halfway House, Inc.",,1042500.0,762500.0,537500.0,160000.0,True,Company,0,1000.0,1000.0,1000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1043500.0,763500.0,538500.0,160000.0,True,True,True,True
Tennessee Oil And Gas Association,,832500.0,492500.0,100000.0,20000.0,True,Company,0,201771.0,116271.0,38500.0,5000.0,True,0.0,0.0,0.0,0.0,0.0,False,1034271.0,608771.0,138500.0,25000.0,True,True,True,False
